Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
eglese.109,140,190,95,206,9,9,20.955,2380,2314.55,155.8298672,1933,90.58365,4.957813573,81.345
eglese.11,77,98,49,184,12,12,3.758,698,658.45,11.07011743,642,34.2209,1.77285927,31.899
eglese.110,140,190,95,206,9,9,21.027,2380,2295.05,167.0845519,1944,87.7463,3.807756887,81.1
eglese.12,77,98,49,184,12,12,4.059,698,663.7,11.97539143,656,35.2447,2.873275276,31.704
eglese.13,77,98,49,184,12,12,3.749,698,657.85,9.840096544,642,34.42785,1.145368468,32.63
eglese.14,77,98,49,184,12,12,3.756,698,659.55,10.14630475,646,34.4333,1.246425533,32.555
eglese.15,77,98,49,184,12,12,3.73,698,656.1,7.980601481,636,34.8488,1.200797593,33.022
eglese.16,77,98,49,184,12,12,4.311,720,718.1,0.435889894,718,35.36215,1.107561659,33.858
eglese.17,77,98,49,184,12,12,4.347,720,718,0,718,34.6049,0.81273033,33.201
eglese.18,77,98,49,184,12,12,4.362,720,718.1,0.435889894,718,34.8503,1.122085206,32.493
eglese.19,77,98,49,184,12,12,4.333,720,718,0,718,35.2827,0.96288598,32.797
eglese.20,77,98,49,184,12,12,4.34,720,718,0,718,35.13805,0.808789372,33.908
eglese.21,77,98,49,184,12,12,4.246,1178,1085.95,86.16987583,728,38.49325,1.340254859,35.374
